"","Question","Kappa","AC1","Raw_percentage"
"1","Q0",1,"1","1"
"2","Q1",0.161971830985916,"0.0967741935483871","0.392857142857143"
"3","Q2",0.0432801822323463,"0.284802043422733","0.464285714285714"
"4","Q3.1",0.65,"0.960255500354862","0.964285714285714"
"5","Q3.2",1,"1","1"
"6","Q3.3",0.65,"0.960255500354862","0.964285714285714"
"7","Q3.4",-0.0937500000000012,"0.786747905559787","0.821428571428571"
"8","Q3.5",0.854166666666667,"0.86","0.928571428571429"
"9","Q4",0.232258064516129,"0.0911694510739857","0.392857142857143"
"10","Q5",0.232876712328767,"0.151515151515151","0.428571428571429"
"11","Q6",0.0757281553398058,"0.163076923076923","0.392857142857143"
"12","Q7",0.78125,"0.957349581111957","0.964285714285714"
"13","Q8",1,"1","1"
"14","Q9",0.65,"0.960255500354862","0.964285714285714"
"15","Q10",0.932853717026379,"0.956600361663653","0.964285714285714"
"16","Q11.1",1,"1","1"
"17","Q11.2",1,"1","1"
"18","Q11.3",0.909090909090909,"0.941238195173137","0.964285714285714"
"19","Q11.4",1,"1","1"
"20","Q11.5",0.631578947368421,"0.911671924290221","0.928571428571429"
"21","Q12",0.511627906976744,"0.862857142857143","0.892857142857143"
"22","Q13",0.867924528301886,"0.951091703056768","0.964285714285714"
"23","Q14",0.845303867403315,"0.867924528301887","0.928571428571429"
"24","Q15",0.611111111111111,"0.875785582255083","0.892857142857143"
"25","Q16",1,"1","1"
"26","Q17",1,"1","1"
"27","Q18",0,"0.962987442167878","0.964285714285714"
"28","Q19",0,"0.962987442167878","0.964285714285714"
"29","Q20",1,"1","1"
"30","Q21",0.444444444444444,"0.739049394221808","0.821428571428571"
"31","Q22",0.611111111111111,"0.853275109170306","0.892857142857143"
"32","Q23",0.65,"0.960255500354862","0.964285714285714"
"33","Q24",0.455252918287938,"0.812869963719687","0.821428571428571"
"34","Q25",0.854166666666667,"0.86","0.928571428571429"
"35","Q26",0.705263157894737,"0.83756345177665","0.857142857142857"
"36","Q27.1",0.715736040609137,"0.714285714285714","0.857142857142857"
"37","Q27.2",1,"1","1"
"38","Q27.3",0.291139240506329,"0.823343848580442","0.857142857142857"
"39","Q27.4",0.78125,"0.957349581111957","0.964285714285714"
"40","Q27.5",0.642857142857143,"0.646910466582598","0.821428571428571"
"41","Q27.6",1,"1","1"
"42","Q28",0.690036900369004,"0.870619946091644","0.892857142857143"
"43","Q29",0.572519083969465,"0.922141119221411","0.928571428571429"
"44","Q30",0.543478260869565,"0.60377358490566","0.785714285714286"
"45","Q31",1,"1","1"
"46","Q32",0.774557165861514,"0.81331259028781","0.821428571428571"
"47","Q33.1",0.142857142857143,"0.16","0.571428571428571"
"48","Q33.2",0.0808080808080808,"0.0726114649681529","0.535714285714286"
"49","Q33.3",0.0344827586206897,"0.595667870036101","0.714285714285714"
"50","Q33.4",-0.0828729281767955,"0.0754716981132076","0.5"
"51","Q33.5",-0.0499999999999995,"0.880766501064585","0.892857142857143"
"52","Q33.6",0.181818181818182,"0.471143756558237","0.678571428571429"
"53","Q33.7",0.186046511627907,"0.771428571428571","0.821428571428571"
"54","Q33.8",0,"0.962987442167878","0.964285714285714"
"55","Q34.1",0,"0.962987442167878","0.964285714285714"
"56","Q34.2",-0.0258620689655173,"-0.100578034682081","0.392857142857143"
"57","Q34.3",1,"1","1"
"58","Q34.4",1,"1","1"
"59","Q35",0.368421052631579,"0.676923076923077","0.785714285714286"
"60","Q36.1",1,"1","1"
"61","Q36.2",1,"1","1"
"62","Q36.3",1,"1","1"
"63","Q36.4",0.0990099009900989,"0.100123609394314","0.535714285714286"
"64","Q36.5",0.475,"0.637931034482759","0.785714285714286"
"65","Q36.6",1,"1","1"
"66","Q37",0.857868020304569,"0.904599659284497","0.892857142857143"
"67","Q38",0.363636363636364,"0.872048743335872","0.892857142857143"
"68","Q39",0.269565217391304,"0.595991983967936","0.678571428571429"
"69","Q40",0.317073170731707,"0.441182114757244","0.535714285714286"
"70","Q41",0.401425178147268,"0.629275468922398","0.678571428571429"
"71","Q42",0.176470588235294,"0.213728549141966","0.357142857142857"
"72","Q43",-0.037037037037037,"-0.118756936736959","0.642857142857143"
"73","Q44",-0.0387096774193548,"-0.00723362658846532","0.178571428571429"
